id_produto;nome;descricao;preco;estoque;categoria;data_adicionado
1;Smartphone Samsung Galaxy S21;Celular com tela AMOLED de 6.2'', 128GB de armazenamento e camera tripla;3251.22;13;Eletrônicos;18/03/2021
2;Notebook Dell Inspiron 15;Notebook com Intel Core i5, 8GB RAM, SSD 256GB e tela 15.6'' Full HD;3746.52;41;Eletrônicos;23/06/2020
3;Smart TV LG 50'' 4K;Televisão com resolução Ultra HD 4K, webOS e inteligência artificial ThinQ AI;1232.57;23;Eletrônicos;09/08/2022
4;Fone de Ouvido Bluetooth JBL;Fone sem fio com som potente, bateria de longa duração e microfone integrado;3431.99;79;Eletrônicos;07/05/2022
5;Console PlayStation 5;Console de última geração com SSD ultra-rápido e gráficos incrí­veis;571.65;64;Eletrônicos;01/03/2022
6;Tablet Apple iPad 10.2;Tablet com chip A13 Bionic, 64GB, ideal para trabalho e entretenimento;304.15;21;Eletrônicos;14/06/2021
7;Caixa de Som Bluetooth JBL Flip 5;Caixa de som portátil a  prova de água com som potente;1210.39;74;Eletrônicos;19/02/2021
8;Roteador TP-Link Archer C6;Roteador Wi-Fi Dual Band AC1200 com 4 antenas e tecnologia MU-MIMO;3069.79;81;Eletrônicos;26/11/2024
9;Monitor LG 24'' Full HD;Monitor LED com painel IPS, resolução 1920x1080 e entradas HDMI/VGA;1114.36;93;Eletrônicos;02/01/2021
10;Impressora HP DeskJet Ink Advantage;Impressora multifuncional com conectividade Wi-Fi e baixo custo de impressão;3551.43;63;Eletrônicos;08/11/2023
11;Camera GoPro HERO9;Camera de ação com video 5K, fotos de 20MP e estabilização avançada;1219.14;85;Eletrônicos;14/07/2020
12;HD Externo Seagate 1TB;Disco rígido portátil com USB 3.0, compatível com Windows e Mac;1499.22;10;Eletrônicos;08/07/2020
13;Kindle 10º Geração;Leitor digital com iluminação embutida, tela antirreflexo e bateria de semanas;3830.22;30;Eletrônicos;23/01/2021
14;Mouse Gamer Logitech G203;Mouse com sensor de 8000 DPI, RGB LIGHTSYNC e 6 botões programaveis;3535.98;53;Eletrônicos;15/02/2022
15;Teclado Mecanico Redragon Kumara;Teclado com switches Outemu Blue e iluminação LED vermelha;1497.68;37;Eletrônicos;30/03/2022
16;Webcam Logitech C920;Webcam Full HD com microfone Surround 7.1 e foco automático;4792.48;53;Eletrônicos;25/07/2024
17;Carregador Portátil Xiaomi 10000mAh;Power Bank com carregamento rápido e duas portas USB;645.72;58;Eletrônicos;28/06/2020
18;Aspirador Robô Multilaser;Aspirador inteligente com sensores antiqueda e retorno automÃ¡tico;619.07;54;Eletrônicos;14/01/2025
19;Relógio Smartwatch Xiaomi Mi Band 6;Pulseira fitness com tela AMOLED, batimentos e notificações;3078.07;15;Eletrônicos;15/12/2021
20;Echo Dot 4º Geração;Caixa de som inteligente com Alexa e som de alta qualidade;3689.2;78;Eletrônicos;25/11/2024
21;Fire TV Stick Amazon;Dispositivo de streaming com controle por voz Alexa e Full HD;755.41;58;Eletrônicos;01/11/2023
22;Placa de Video NVIDIA RTX 3060;GPU potente com 12GB GDDR6, Ray Tracing e DLSS;532.18;47;Eletrônicos;20/02/2022
23;Fonte Corsair 650W 80 Plus Bronze;Fonte de alimentação com alta eficiência e baixo ruído;4172.61;89;Eletrônicos;01/02/2024
24;Gabinete Gamer Mid Tower;Gabinete com lateral em vidro temperado e suporte para RGB;4444.44;56;Eletrônicos;19/08/2022
25;Headset Gamer HyperX Cloud Stinger;Fone com som Surround 7.1 microfone giratório e conforto prolongado;2950.16;100;Eletrônicos;27/04/2020
26;Cadeira Gamer ThunderX3;Cadeira ergonômica com apoio de braço ajustável e encosto reclinável;487.34;94;Eletrônicos;16/08/2021
27;Estabilizador SMS 300VA;Estabilizador bivolt com 6 tomadas e proteção contra surtos;1255.31;47;Eletrônicos;11/11/2023
28;Nobreak APC Back-UPS 600VA;Nobreak com autonomia para manter dispositivos ligados por até 20 minutos;4928.32;39;Eletrônicos;28/02/2023
29;Hub USB 3.0 Multilaser;Expansor com 4 portas USB de alta velocidade e design compacto;4352.45;58;Eletrônicos;18/08/2022
30;Leitor de Cartão SD USB;Leitor de cartões compativel com SD, microSD e outros formatos;1498.17;91;Eletrônicos;03/08/2021
